省内频道,#genre#
CCTV-12社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225598/index.m3u8
CCTV-12社会,http://101.71.255.229:6610/zjhs/2/10071/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-13新闻,http://111.12.102.68:6610/PLTV/77777777/224/3221225742/index.m3u8?
CCTV-13新闻,http://121.31.30.91:8081/ysten-business/live/cctv-13/1.m3u8
CCTV-13新闻,http://125.210.152.18:9090/live/CCTV13_750.m3u8
CCTV-13新闻,http://121.31.30.90:8085/ysten-business/live/cctv-13/1.m3u8
CCTV-13新闻,http://stream4.jlntv.cn/cctv13/sd/live.m3u8
CCTV-13新闻,http://125.210.152.18:9090/live/CCTV13.m3u8
CCTV-14少儿,http://111.12.102.68:6610/PLTV/77777777/224/3221225673/index.m3u8?
CCTV-14少儿,http://111.12.102.68:6610/PLTV/77777777/224/3221225648/index.m3u8?
CCTV-14少儿,http://101.71.255.229:6610/zjhs/2/10087/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-14少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14少儿,http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225600/index.m3u8
CCTV-14少儿,http://121.31.30.91:8081/ysten-business/live/cctv-14/1.m3u8
CCTV-14少儿,http://101.71.255.229:6610/zjhs/2/10070/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-14少儿,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8
CCTV-15音乐,http://111.12.102.68:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV-15音乐,http://111.12.102.68:6610/PLTV/77777777/224/3221225830/index.m3u8?
CCTV-15音乐,http://101.71.255.229:6610/zjhs/2/10088/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-15音乐,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV-15音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-15音乐,http://121.31.30.91:8081/ysten-business/live/cctv-15/1.m3u8
CCTV-17农业,http://111.12.102.68:6610/PLTV/77777777/224/3221225513/index.m3u8?
CCTV-17农业,http://111.12.102.68:6610/PLTV/77777777/224/3221225833/index.m3u8?
CCTV-17农业,http://111.12.102.68:6610/PLTV/77777777/224/3221225766/index.m3u8?
CCTV-17农业,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
CCTV-17农业,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8
CCTV-17农业,https://cctvcnch5ca.v.wscdns.com/live/cctv17_2/10793.m3u8
CCTV-4K,http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8
